property_id,business_id,census_year,industry,clue_area,trading_name,business_address,building_address,seating_type,num_seats,lifespan_years,lifespan_group,lon,lat,businesses_at_property,bias_filter,business_status,analysis_usage,street_address,total_businesses_on_street,street_reliability,competitors_50m,same_industry_50m,other_industry_50m,competition_50m_category,high_competition_50m,isolated_location,street_quality,on_prime_street,on_poor_street,industry_ratio_50m,size_category,dist_from_cbd_km,is_current_business,high_risk_location,favorable_location,competitors_200m,same_industry_200m,other_industry_200m,competition_200m_category,high_competition_200m,industry_ratio_200m,true_current_comp_200m,true_current_comp_50m,start_year_filter,street_avg_lifespan,street_success_rate,street_median_seats,complete_lifespan
100041,1,2002,Takeaway,North Melbourne,Abbot's Seafood,253 Abbotsford Street NORTH MELBOURNE 3051,253 Abbotsford Street NORTH MELBOURNE 3051,Mixed,10,1,1-2 yrs,144.9454531679633,-37.80132776,1,FALSE,Closed Business,Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.385902476,0,0,1,1,1,0,Very Low (1-5),0,1,NA,NA,FALSE,22,100,12,TRUE
100084,2,2002,Takeaway,North Melbourne,La Dish Fine Foods,515 Abbotsford Street NORTH MELBOURNE 3051,515-517 Abbotsford Street NORTH MELBOURNE 3051,Mixed,28,1,1-2 yrs,144.94676212668315,-37.79420438,1,FALSE,Closed Business,Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.814930629714638,0,0,1,1,1,0,Very Low (1-5),0,1,NA,NA,FALSE,22,100,12,TRUE
100112,3,2002,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Seats - Indoor,12,22,>12 yrs,144.94651642273988,-37.79872926,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.472470976644123,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2003,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Seats - Indoor,12,22,>12 yrs,144.94651642273988,-37.79872926,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.472470976644123,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2004,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Seats - Indoor,12,22,>12 yrs,144.94651642273988,-37.79872926,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.472470976644123,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2005,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Seats - Indoor,12,22,>12 yrs,144.94651642273988,-37.79872926,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.472470976644123,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2006,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Seats - Indoor,12,22,>12 yrs,144.94651642273988,-37.79872926,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.472470976644123,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2007,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Mixed,20,22,>12 yrs,144.94651642273988,-37.79872926,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.472470976644123,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2008,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Mixed,20,22,>12 yrs,144.94650694309055,-37.79872781,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.4733619005079808,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
100112,3,2009,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Mixed,20,22,>12 yrs,144.94650694309055,-37.79872781,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,3,Low (3-4),0,0,0,Isolated (0),0,1,Excellent (Top 20%),1,0,NA,Small (≤30),2.4733619005079808,0,0,1,2,2,0,Very Low (1-5),0,1,3,0,TRUE,22,100,12,FALSE
